name,category,rating_score,rating_count,address
전주 슈페리어,모텔,9.1,629,전북특별자치도 전주시 덕진구 우아동3가 752-33
전주 짬,모텔,9.0,637,전북특별자치도 전주시 덕진구 산정동 875-1
전주 한옥마을 분 게스트하우스,게하 · 한옥,10.0,9,전북특별자치도전주시 완산구 경원동2가 40-31
전주 토마토,모텔,8.9,923,전북특별자치도 전주시 덕진구 금암동 701-1
전주 더 메이 호텔,호텔4성급,9.5,37,전북특별자치도전주시 덕진구 팔복동1가 333-1
전주 한옥마을 담소 황토 한옥,게하 · 한옥,9.6,129,전라북도 전주시 완산구 교동 123
전주 한옥마을 한옥이야기,게하 · 한옥,9.8,45,전라북도 전주시 완산구 교동 124-8
전주 한옥마을 여별,게하 · 한옥,9.8,20,전북특별자치도 전주시 완산구 전동 243
전주 스테이 일상이상,펜션,10.0,3,전북특별자치도 전주시 완산구 중노송동 253-164
전주 여가,펜션,9.7,12,전북특별자치도 전주시 완산구 풍남동3가 54-13
전주 풍류가옥,펜션,9.7,5,전북특별자치도 전주시 완산구 중노송동 253-93
전주 한옥마을 더 머뭄,게하 · 한옥,9.8,331,전북특별자치도전주시 완산구 풍남동3가 81-8
전주 한옥마을 교동살래,게하 · 한옥,9.6,74,전라북도 전주시 완산구 교동 191-7
전주한옥마을 웨이,게하 · 한옥,9.7,69,전라북도 전주시 완산구 풍남동1가 53-3
전주한옥마을 예술가의집 시간무늬,펜션,9.9,10,전북특별자치도 전주시 완산구 동서학동 218-3
전주 한옥마을 경기전 별당채,게하 · 한옥,9.8,156,전라북도 전주시 완산구 풍남동3가 47-15
전주 한옥마을 별빛 쉼터,게하 · 한옥,10.0,16,전북특별자치도전주시 완산구 교동 211
전주 프린스 우아점,모텔,9.4,633,전북특별자치도 전주시 덕진구 우아동2가 926-5
전주 한옥마을 혜윰,게하 · 한옥,9.9,17,전라북도 전주시 완산구 교동 213
전주 한옥마을 달빛향,게하 · 한옥,10.0,10,전북특별자치도 전주시 완산구 교동 182-4
전주 한옥마을 어울림,게하 · 한옥,9.9,127,전북특별자치도 전주시 완산구 교동 61-3
반려동물 동반 가능 독채 감성숙소 향교길선우가,홈&빌라,10.0,9,전북특별자치도전주시 완산구 교동 16-16
전주 한옥마을 꽃밭정원 예쁜집 좋은날,게하 · 한옥,9.6,149,전북특별자치도 전주시 완산구 경원동2가 40-33
더정가 스테이,게하 · 한옥,9.9,45,전북특별자치도 전주시 완산구 풍남동3가 9-17
한 팀만을 위한 독채한옥 전주 소소정,홈&빌라,9.8,11,전북특별자치도전주시 완산구 교동 16-17
